# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.6538701663,0.999414257714114
2460872.654116014,0.9995619904148746
2460872.6543618618,0.9996942066104372
2460872.6546077095,0.9998089418114534
2460872.6548535572,0.999903351157382
2460872.655099405,0.9999724805141281
2460872.6553452527,1.0
2460872.6555911005,1.0
2460872.6558369477,1.0
2460872.6560827955,1.0
2460872.656328643,1.0
2460872.656574491,1.0
2460872.6568203387,1.0
2460872.6570661864,1.0
2460872.657312034,1.0
2460872.657557882,1.0
2460872.6578037296,1.0
2460872.6580495774,1.0
2460872.658295425,1.0
2460872.658541273,1.0
2460872.65878712,1.0
2460872.659032968,1.0
2460872.6592788156,1.0
2460872.6595246634,1.0
2460872.659770511,1.0
2460872.660016359,1.0
2460872.6602622066,1.0
2460872.6605080543,1.0
2460872.660753902,1.0
2460872.66099975,1.0
2460872.6612455975,1.0
2460872.6614914453,1.0
2460872.6617372925,1.0
2460872.6619831403,1.0
2460872.662228988,1.0
2460872.6624748358,1.0
2460872.6627206835,1.0
2460872.6629665312,1.0
2460872.663212379,1.0
2460872.6634582267,1.0
2460872.6637040745,1.0
2460872.663949922,1.0
2460872.66419577,1.0
2460872.664441617,1.0
2460872.664687465,1.0
2460872.6649333127,1.0
2460872.6651791604,1.0
2460872.665425008,1.0
2460872.665670856,1.0
2460872.6659167036,1.0
2460872.6661625514,1.0
2460872.666408399,1.0
2460872.666654247,1.0
2460872.6669000946,1.0
2460872.6671459423,1.0
2460872.6673917896,1.0
2460872.6676376374,1.0
2460872.667883485,1.0
2460872.668129333,1.0
2460872.6683751806,1.0
2460872.6686210283,1.0
2460872.668866876,1.0
2460872.669112724,1.0
2460872.6693585715,1.0
2460872.6696044193,1.0
2460872.669850267,1.0
2460872.6700961147,1.0
2460872.670341962,1.0
2460872.6705878098,1.0
2460872.6708336575,1.0
2460872.6710795052,1.0
2460872.671325353,1.0
2460872.6715712007,1.0
2460872.6718170485,1.0
2460872.672062896,1.0
2460872.672308744,1.0
2460872.6725545917,1.0
2460872.6728004394,1.0
2460872.673046287,1.0
2460872.6732921344,1.0
2460872.673537982,1.0
2460872.67378383,1.0
2460872.6740296776,1.0
2460872.6742755254,1.0
2460872.674521373,1.0
2460872.674767221,1.0
2460872.6750130686,1.0
2460872.6752589163,1.0
2460872.675504764,1.0
2460872.675750612,1.0
2460872.675996459,1.0
2460872.676242307,1.0
2460872.6764881546,1.0
2460872.6767340023,1.0
2460872.67697985,1.0
2460872.677225698,1.0
2460872.6774715455,1.0
2460872.6777173933,1.0
2460872.677963241,1.0
2460872.6782090887,1.0
2460872.6784549365,1.0
2460872.678700784,1.0
2460872.6789466315,1.0
2460872.6791924792,1.0
2460872.679438327,1.0
2460872.6796841747,1.0
2460872.6799300225,1.0
2460872.68017587,1.0
2460872.680421718,1.0
2460872.6806675657,1.0
2460872.6809134134,1.0
2460872.681159261,1.0
2460872.681405109,1.0
2460872.6816509566,1.0
2460872.681896804,1.0
2460872.6821426516,1.0
2460872.6823884994,1.0
2460872.682634347,1.0
2460872.682880195,1.0
2460872.6831260426,1.0
2460872.6833718903,1.0
2460872.683617738,1.0
2460872.683863586,1.0
2460872.6841094336,1.0
